CMDLINE rundisagg func3.o.py -m mem1:2333 mem2:2334 mem3:2335 mem4:2336
MEM 0.570312 1646589569.4968
MEM 17.957031 1646589569.5972
MEM 39.070312 1646589569.6976
MEM 50.363281 1646589569.7979
MEM 51.117188 1646589569.8983
MEM 51.878906 1646589569.9987
MEM 52.652344 1646589570.0991
MEM 53.683594 1646589570.1995
MEM 54.714844 1646589570.2997
MEM 55.746094 1646589570.4000
MEM 56.519531 1646589570.5005
MEM 57.035156 1646589570.6008
MEM 58.281250 1646589570.7012
MEM 59.054688 1646589570.8015
MEM 60.085938 1646589570.9019
MEM 60.859375 1646589571.0022
MEM 61.890625 1646589571.1027
MEM 62.660156 1646589571.2031
MEM 63.718750 1646589571.3034
MEM 64.609375 1646589571.4038
MEM 65.375000 1646589571.5042
MEM 66.402344 1646589571.6045
MEM 66.917969 1646589571.7049
MEM 67.949219 1646589571.8053
MEM 68.980469 1646589571.9057
MEM 69.753906 1646589572.0061
MEM 70.011719 1646589572.1064
MEM 71.042969 1646589572.2068
MEM 72.074219 1646589572.3072
MEM 73.105469 1646589572.4075
MEM 74.136719 1646589572.5079
MEM 75.167969 1646589572.6084
MEM 75.683594 1646589572.7087
MEM 76.199219 1646589572.8091
MEM 77.488281 1646589572.9096
MEM 78.261719 1646589573.0099
MEM 79.292969 1646589573.1103
MEM 80.066406 1646589573.2107
MEM 81.097656 1646589573.3110
MEM 81.871094 1646589573.4114
MEM 82.644531 1646589573.5117
MEM 83.417969 1646589573.6121
MEM 84.191406 1646589573.7125
MEM 85.222656 1646589573.8128
MEM 86.253906 1646589573.9132
MEM 87.285156 1646589574.0136
MEM 87.800781 1646589574.1140
MEM 88.574219 1646589574.2143
MEM 89.347656 1646589574.3147
MEM 90.378906 1646589574.4151
MEM 91.406250 1646589574.5155
MEM 92.437500 1646589574.6158
MEM 93.210938 1646589574.7162
MEM 93.984375 1646589574.8166
MEM 94.757812 1646589574.9169
MEM 95.531250 1646589575.0173
MEM 96.562500 1646589575.1177
MEM 97.593750 1646589575.2179
MEM 98.367188 1646589575.3183
MEM 99.398438 1646589575.4186
MEM 100.171875 1646589575.5190
MEM 100.945312 1646589575.6193
MEM 101.718750 1646589575.7197
MEM 102.750000 1646589575.8201
MEM 103.523438 1646589575.9205
MEM 104.554688 1646589576.0208
MEM 105.070312 1646589576.1212
MEM 106.101562 1646589576.2216
MEM 107.132812 1646589576.3219
MEM 107.648438 1646589576.4223
MEM 108.421875 1646589576.5227
MEM 109.195312 1646589576.6231
MEM 110.226562 1646589576.7235
MEM 111.000000 1646589576.8238
MEM 112.031250 1646589576.9242
MEM 112.804688 1646589577.0246
MEM 113.835938 1646589577.1250
MEM 114.609375 1646589577.2254
MEM 115.382812 1646589577.3257
MEM 119.375000 1646589577.4261
MEM 138.949219 1646589577.5265
MEM 155.707031 1646589577.6268
MEM 174.527344 1646589577.7272
MEM 190.769531 1646589577.8276
MEM 203.980469 1646589577.9280
MEM 217.125000 1646589578.0284
MEM 241.101562 1646589578.1289
MEM 210.703125 1646589578.2293
MEM 159.292969 1646589578.3296
MEM 127.636719 1646589578.4300
MEM 127.871094 1646589578.5304
MEM 127.871094 1646589578.6308
MEM 127.871094 1646589578.7312
MEM 127.871094 1646589578.8323
MEM 127.871094 1646589578.9327
MEM 127.871094 1646589579.0332
MEM 127.871094 1646589579.1336
MEM 128.082031 1646589579.2340
MEM 128.082031 1646589579.3344
MEM 128.082031 1646589579.4348
MEM 128.082031 1646589579.5353
MEM 128.082031 1646589579.6358
MEM 128.082031 1646589579.7363
MEM 128.082031 1646589579.8368
MEM 128.082031 1646589579.9373
MEM 128.082031 1646589580.0378
MEM 128.082031 1646589580.1383
MEM 128.082031 1646589580.2387
MEM 128.082031 1646589580.3391
MEM 128.082031 1646589580.4395
MEM 128.082031 1646589580.5398
MEM 128.082031 1646589580.6403
MEM 125.972656 1646589580.7407
